,text,entities
10,11th family: an exceptionally healthy queen with workers displaying an impressive haul of nectar and pollen; the brood chamber is teeming with new eggs and almost all honey frames are nearing completion.,"[[16, 37, 'HEALTHSTATUS'], [38, 43, 'QUEEN'], [49, 56, 'WORKER'], [68, 86, 'HEALTHSTATUS'], [90, 96, 'FORAGE'], [101, 107, 'FORAGE'], [130, 151, 'EGGCOUNT'], [163, 202, 'HONEYFRAMES']]"
11,12th family: a queen in her prime workers in a frenzy of productivity ample stores of propolis and honey and a brood pattern so perfect it could be featured in a beekeeping manual.,"[[15, 20, 'QUEEN'], [24, 33, 'HEALTHSTATUS'], [34, 41, 'WORKER'], [47, 69, 'HEALTHSTATUS'], [86, 94, 'BEEPRODUCT'], [99, 104, 'BEEPRODUCT'], [111, 127, 'EGGCOUNT']]"
12,13th family: a newly emerged queen already proving her worth workers efficiently managing the nectar flow despite the recent dry spell and honey frames well on their way to being filled to the brim.,"[[29, 34, 'QUEEN'], [43, 60, 'HEALTHSTATUS'], [69, 89, 'HEALTHSTATUS'], [94, 100, 'FORAGE'], [139, 156, 'HONEYFRAMES']]"
13,14th family: Queen present strong brood ample pollen and nectar ten frames of honey.,"[[13, 18, 'QUEEN'], [46, 52, 'FORAGE'], [57, 63, 'FORAGE'], [68, 83, 'HONEYFRAMES']]"
14,15th family: Weak queen sparse brood low forage yield three honey frames.,"[[13, 17, 'HEALTHSTATUS'], [18, 23, 'QUEEN'], [31, 47, 'EGGCOUNT'], [54, 72, 'HONEYFRAMES']]"
15,16th family: Queen laying well high worker activity rich pollen eight honey frames capped.,"[[13, 18, 'QUEEN'], [36, 42, 'WORKER'], [52, 56, 'HEALTHSTATUS'], [57, 63, 'FORAGE'], [83, 89, 'HEALTHSTATUS']]"
16,17th family: No queen seen brood declining forage poor two honey frames half-filled.,"[[16, 21, 'QUEEN'], [27, 32, 'HEALTHSTATUS'], [43, 54, 'HEALTHSTATUS'], [55, 71, 'HONEYFRAMES']]"
17,18th family: Strong queen robust brood excellent pollen and nectar nine full honey frames.,"[[13, 19, 'HEALTHSTATUS'], [20, 25, 'QUEEN'], [33, 48, 'EGGCOUNT'], [49, 55, 'FORAGE'], [60, 66, 'FORAGE'], [72, 89, 'HONEYFRAMES']]"
18,19th family: Queen healthy brood good forage average four honey frames ready.,"[[13, 18, 'QUEEN'], [19, 26, 'HEALTHSTATUS'], [27, 44, 'EGGCOUNT'], [53, 70, 'HONEYFRAMES'], [71, 76, 'HEALTHSTATUS']]"
19,20th family: Queen absent replacing workers active six honey frames being filled.,"[[13, 18, 'QUEEN'], [19, 25, 'HEALTHSTATUS'], [36, 43, 'WORKER'], [51, 67, 'HONEYFRAMES'], [74, 80, 'HEALTHSTATUS']]"
20,21st family: Queen spotted brood expanding good pollen collection seven honey frames sealed.,"[[13, 18, 'QUEEN'], [27, 42, 'EGGCOUNT'], [43, 47, 'HEALTHSTATUS'], [48, 54, 'FORAGE'], [66, 84, 'HONEYFRAMES']]"
21,22nd family: Queen vibrant full brood chamber high forage activity ten honey frames heavy.,"[[13, 18, 'QUEEN'], [51, 66, 'HEALTHSTATUS'], [67, 83, 'HONEYFRAMES'], [84, 89, 'HEALTHSTATUS']]"
22,23rd family: Old queen brood steady moderate foraging five honey frames completed.,"[[13, 16, 'BEE'], [17, 22, 'QUEEN'], [36, 58, 'HEALTHSTATUS'], [59, 81, 'HONEYFRAMES']]"
23,24th family: New queen workers bustling abundant forage six full honey frames.,"[[17, 22, 'QUEEN'], [23, 30, 'WORKER'], [40, 48, 'HEALTHSTATUS'], [49, 55, 'FORAGE'], [60, 77, 'HONEYFRAMES']]"
24,25th family: Queen present brood healthy foraging successful seven honey frames capped.,"[[13, 18, 'QUEEN'], [27, 49, 'EGGCOUNT'], [61, 79, 'HONEYFRAMES'], [80, 86, 'HEALTHSTATUS']]"
25,26th family: Queen unspotted brood fair forage low four honey frames stored.,"[[13, 18, 'QUEEN'], [19, 34, 'HEALTHSTATUS'], [51, 75, 'HONEYFRAMES']]"
26,27th family: Active queen strong brood good nectar flow eight honey frames filled.,"[[13, 19, 'HEALTHSTATUS'], [20, 25, 'QUEEN'], [33, 43, 'EGGCOUNT'], [44, 50, 'FORAGE'], [62, 81, 'HONEYFRAMES']]"
27,28th family: Queen productive brood plentiful forage high nine honey frames ready.,"[[13, 18, 'QUEEN'], [36, 45, 'HEALTHSTATUS'], [58, 75, 'HONEYFRAMES'], [76, 81, 'HEALTHSTATUS']]"
28,29th family: Queen missing brood sparse pollen scarce two honey frames half-full.,"[[13, 18, 'QUEEN'], [27, 32, 'QUEEN'], [33, 39, 'HEALTHSTATUS'], [40, 46, 'FORAGE'], [54, 70, 'HONEYFRAMES'], [76, 80, 'HEALTHSTATUS']]"
29,30th family: Queen sighted workers energetic ample pollen five honey frames sealed.,"[[13, 18, 'QUEEN'], [19, 26, 'HEALTHSTATUS'], [27, 34, 'WORKER'], [35, 44, 'HEALTHSTATUS'], [45, 57, 'BEEPRODUCT'], [63, 82, 'HONEYFRAMES']]"
30,31st family: Healthy queen brood expanding forage abundant seven honey frames stocked.,"[[13, 20, 'HEALTHSTATUS'], [21, 26, 'QUEEN'], [59, 77, 'HONEYFRAMES'], [78, 85, 'HEALTHSTATUS']]"
31,32nd family: Strong queen brood vibrant high nectar intake full ten honey frames.,"[[13, 19, 'HEALTHSTATUS'], [20, 25, 'QUEEN'], [32, 39, 'HEALTHSTATUS'], [45, 51, 'FORAGE'], [64, 80, 'HONEYFRAMES']]"
32,33rd family: Queen aging steady brood moderate forage six honey frames processed.,"[[13, 18, 'QUEEN'], [19, 24, 'HEALTHSTATUS'], [32, 37, 'EGGCOUNT'], [47, 53, 'FORAGE'], [58, 81, 'HONEYFRAMES']]"
33,34th family: Queen laying eggs brood area growing plentiful forage five frames of honey.,"[[13, 18, 'QUEEN'], [19, 30, 'HEALTHSTATUS'], [31, 49, 'EGGCOUNT'], [60, 66, 'FORAGE'], [82, 87, 'BEEPRODUCT']]"
34,35th family: No queen detected brood suffering poor forage three honey frames used.,"[[13, 15, 'HEALTHSTATUS'], [16, 21, 'QUEEN'], [31, 51, 'EGGCOUNT'], [59, 77, 'HONEYFRAMES']]"
35,36th family: Queen healthy brood strong rich nectar sources eight frames well-stocked.,"[[13, 18, 'QUEEN'], [27, 39, 'EGGCOUNT'], [40, 44, 'HEALTHSTATUS'], [45, 51, 'FORAGE'], [60, 72, 'HONEYFRAMES'], [73, 85, 'HEALTHSTATUS']]"
36,37th family: Queen visible brood stable good pollen harvest seven honey frames capped.,"[[13, 18, 'QUEEN'], [19, 32, 'HEALTHSTATUS'], [45, 51, 'FORAGE'], [60, 78, 'HONEYFRAMES'], [79, 85, 'HEALTHSTATUS']]"
37,38th family: Queen active brood present forage adequate four honey frames filled.,"[[13, 18, 'QUEEN'], [26, 46, 'EGGCOUNT'], [56, 73, 'HONEYFRAMES']]"
38,39th family: Queen not found workers listless low forage two honey frames empty.,"[[13, 18, 'QUEEN'], [19, 28, 'HEALTHSTATUS'], [29, 36, 'WORKER'], [46, 56, 'HEALTHSTATUS'], [57, 73, 'HONEYFRAMES']]"
39,40th family: Queen productive brood excellent forage rich six honey frames sealed.,"[[13, 18, 'QUEEN'], [30, 52, 'EGGCOUNT'], [58, 74, 'HONEYFRAMES'], [75, 81, 'HEALTHSTATUS']]"
40,41st family: Queen reigning strong brood high nectar and pollen nine honey frames full.,"[[13, 18, 'QUEEN'], [19, 27, 'HEALTHSTATUS'], [35, 52, 'EGGCOUNT'], [57, 63, 'FORAGE'], [69, 86, 'HONEYFRAMES']]"
41,42nd family: Queen prolific brood dense abundant forage ten honey frames harvested.,"[[13, 18, 'QUEEN'], [40, 55, 'HEALTHSTATUS'], [56, 72, 'HONEYFRAMES'], [73, 82, 'HEALTHSTATUS']]"
42,43rd family: Queen in decline brood okay forage moderate five honey frames completed.,"[[13, 18, 'QUEEN'], [30, 47, 'EGGCOUNT'], [57, 84, 'HONEYFRAMES']]"
43,44th family: Queen excellent brood numerous forage plentiful eight honey frames topped.,"[[13, 18, 'QUEEN'], [35, 50, 'HEALTHSTATUS'], [61, 79, 'HONEYFRAMES'], [80, 86, 'HEALTHSTATUS']]"
44,45th family: Queen absent brood dwindling forage limited three honey frames partial.,"[[13, 18, 'QUEEN'], [26, 48, 'EGGCOUNT'], [49, 56, 'HEALTHSTATUS'], [57, 75, 'HONEYFRAMES'], [76, 83, 'HEALTHSTATUS']]"
45,46th family: Queen spotted brood healthy good forage seven honey frames filled.,"[[13, 18, 'QUEEN'], [27, 52, 'EGGCOUNT'], [53, 71, 'HONEYFRAMES'], [72, 78, 'HEALTHSTATUS']]"
46,47th family: Queen strong brood expanding rich pollen sources nine frames capped.,"[[13, 18, 'QUEEN'], [26, 46, 'EGGCOUNT'], [47, 53, 'FORAGE'], [62, 73, 'HONEYFRAMES'], [74, 80, 'HEALTHSTATUS']]"
47,48th family: Queen laying brood vibrant forage successful six frames with honey.,"[[13, 18, 'BEE'], [19, 31, 'HEALTHSTATUS'], [32, 57, 'HEALTHSTATUS'], [58, 68, 'HONEYFRAMES'], [74, 79, 'BEEPRODUCT']]"
48,49th family: Queen unseen brood small low nectar yield two frames needing work.,"[[13, 18, 'QUEEN'], [19, 41, 'HEALTHSTATUS'], [42, 48, 'FORAGE'], [55, 65, 'HONEYFRAMES'], [66, 78, 'HEALTHSTATUS']]"
49,50th family: Queen active brood stable forage good five honey frames sealed.,"[[13, 18, 'QUEEN'], [26, 45, 'EGGCOUNT'], [51, 68, 'HONEYFRAMES'], [69, 75, 'HEALTHSTATUS']]"
50,51st family: Queen present brood large forage excellent ten frames heavy with honey.,"[[13, 18, 'QUEEN'], [27, 45, 'EGGCOUNT'], [56, 66, 'HONEYFRAMES'], [67, 83, 'HEALTHSTATUS']]"
51,52nd family: Queen new brood growing pollen abundant four frames well-stocked.,"[[13, 18, 'QUEEN'], [23, 36, 'EGGCOUNT'], [37, 43, 'FORAGE'], [53, 64, 'HONEYFRAMES'], [65, 77, 'HEALTHSTATUS']]"
52,53rd family: Queen old brood fair forage average seven honey frames ready.,"[[13, 18, 'QUEEN'], [19, 40, 'HEALTHSTATUS'], [49, 67, 'HONEYFRAMES'], [68, 73, 'HEALTHSTATUS']]"
53,54th family: Queen active worker bees numerous drone count normal eggs abundant propolis and six honey frames collected.,"[[13, 18, 'BEE'], [19, 25, 'HEALTHSTATUS'], [26, 32, 'WORKER'], [47, 52, 'DRONE'], [53, 70, 'HEALTHSTATUS'], [80, 88, 'BEEPRODUCT'], [93, 109, 'HONEYFRAMES']]"
54,55th family: No queen workers agitated drones scarce few eggs some beeswax but only three frames of honey.,"[[13, 15, 'HEALTHSTATUS'], [16, 21, 'QUEEN'], [22, 29, 'WORKER'], [39, 45, 'DRONE'], [53, 56, 'BEE'], [57, 61, 'HEALTHSTATUS'], [67, 74, 'BEEPRODUCT'], [79, 105, 'BEEPRODUCT']]"
55,56th family: Queen laying profusely high worker and drone activity egg count high plenty of honey and beeswax across eight frames.,"[[13, 18, 'QUEEN'], [19, 40, 'HEALTHSTATUS'], [41, 47, 'WORKER'], [52, 57, 'DRONE'], [67, 81, 'EGGCOUNT'], [92, 97, 'BEEPRODUCT'], [102, 109, 'BEEPRODUCT'], [117, 129, 'HONEYFRAMES']]"
56,57th family: Queen present worker numbers strong drone population up eggs plentiful and seven honey frames along with substantial beeswax.,"[[13, 18, 'QUEEN'], [19, 26, 'HEALTHSTATUS'], [27, 33, 'WORKER'], [49, 54, 'DRONE'], [74, 83, 'HEALTHSTATUS'], [88, 106, 'HONEYFRAMES'], [130, 137, 'BEEPRODUCT']]"
57,58th family: Queen seen workers busy normal amount of drones good egg production ample honey and propolis on five frames.,"[[13, 18, 'QUEEN'], [19, 23, 'HEALTHSTATUS'], [24, 31, 'WORKER'], [37, 50, 'HEALTHSTATUS'], [54, 60, 'DRONE'], [61, 80, 'EGGCOUNT'], [87, 92, 'BEEPRODUCT'], [97, 105, 'BEEPRODUCT'], [109, 120, 'HONEYFRAMES']]"
58,59th family: Queen not found worker bees sluggish drone numbers low egg count down but still five frames of honey.,"[[13, 18, 'QUEEN'], [19, 28, 'HEALTHSTATUS'], [29, 35, 'WORKER'], [41, 49, 'HEALTHSTATUS'], [50, 55, 'DRONE'], [93, 104, 'HONEYFRAMES'], [108, 113, 'BEEPRODUCT']]"
59,60th family: Queen healthy workers efficient drones adequate many eggs laid high honey yield and beeswax on nine frames.,"[[13, 18, 'QUEEN'], [19, 26, 'HEALTHSTATUS'], [27, 34, 'WORKER'], [45, 51, 'DRONE'], [61, 80, 'EGGCOUNT'], [81, 86, 'BEEPRODUCT'], [97, 104, 'BEEPRODUCT'], [108, 119, 'HONEYFRAMES']]"
60,61st family: Queen excellent workers hard at work drone presence good egg count excellent and eight honey frames full.,"[[13, 18, 'QUEEN'], [29, 36, 'WORKER'], [37, 49, 'HEALTHSTATUS'], [50, 55, 'DRONE'], [65, 89, 'EGGCOUNT'], [94, 112, 'HONEYFRAMES'], [113, 117, 'HEALTHSTATUS']]"
61,62nd family: New queen workers active enough drones satisfactory egg count honey and propolis gathered on six frames.,"[[23, 30, 'WORKER'], [38, 44, 'HEALTHSTATUS'], [45, 51, 'DRONE'], [52, 74, 'EGGCOUNT'], [75, 80, 'BEEPRODUCT'], [85, 93, 'BEEPRODUCT'], [106, 116, 'HONEYFRAMES']]"
62,63rd family: Aging queen stable worker population fewer drones moderate eggs beeswax and seven frames of honey noted.,"[[13, 18, 'HEALTHSTATUS'], [19, 24, 'QUEEN'], [32, 38, 'WORKER'], [56, 62, 'DRONE'], [72, 84, 'EGGCOUNT'], [89, 101, 'HONEYFRAMES'], [105, 110, 'BEEPRODUCT'], [111, 116, 'HEALTHSTATUS']]"
63,64th family: Queen robust workers tireless drone count high eggs numerous rich in propolis with all ten honey frames stocked.,"[[13, 18, 'QUEEN'], [26, 33, 'WORKER'], [43, 48, 'DRONE'], [65, 78, 'HEALTHSTATUS'], [82, 90, 'BEEPRODUCT'], [100, 116, 'HONEYFRAMES'], [117, 124, 'HEALTHSTATUS']]"
64,65th family: No queen worker count low drones absent eggs missing limited beeswax and only two honey frames filled.,"[[16, 21, 'QUEEN'], [22, 28, 'WORKER'], [35, 38, 'HEALTHSTATUS'], [39, 45, 'DRONE'], [53, 73, 'EGGCOUNT'], [74, 81, 'BEEPRODUCT'], [91, 107, 'HONEYFRAMES'], [108, 114, 'HEALTHSTATUS']]"
65,66th family: Queen laying steadily workers foraging well drones healthy egg layers active abundant honey and seven frames capped.,"[[13, 18, 'QUEEN'], [19, 34, 'HEALTHSTATUS'], [35, 42, 'WORKER'], [57, 63, 'DRONE'], [72, 89, 'EGGCOUNT'], [99, 104, 'BEEPRODUCT'], [109, 121, 'HONEYFRAMES'], [122, 128, 'HEALTHSTATUS']]"
66,67th family: Queen spotted workers present drone numbers fair eggs well-laid good beeswax production and five honey frames ready.,"[[13, 18, 'QUEEN'], [27, 34, 'WORKER'], [43, 48, 'DRONE'], [49, 66, 'HEALTHSTATUS'], [67, 81, 'HEALTHSTATUS'], [82, 89, 'BEEPRODUCT'], [105, 122, 'HONEYFRAMES']]"
67,68th family: Queen missing worker bees restless drones dwindling egg production stalled and four honey frames at half capacity.,"[[13, 18, 'QUEEN'], [19, 26, 'HEALTHSTATUS'], [27, 33, 'WORKER'], [34, 38, 'BEE'], [39, 47, 'HEALTHSTATUS'], [48, 54, 'DRONE'], [80, 87, 'HONEYFRAMES'], [92, 109, 'HONEYFRAMES']]"
68,69th family: Queen newly mated worker bees thriving drones visible egg count up and nine honey frames nearing completion.,"[[13, 18, 'QUEEN'], [19, 30, 'HEALTHSTATUS'], [31, 37, 'WORKER'], [43, 51, 'HEALTHSTATUS'], [59, 79, 'EGGCOUNT'], [84, 101, 'HONEYFRAMES']]"
69,70th family: Queen in prime abundant worker bees drone activity normal eggs plentiful and six frames laden with honey.,"[[13, 18, 'QUEEN'], [22, 27, 'HEALTHSTATUS'], [28, 36, 'HEALTHSTATUS'], [37, 43, 'WORKER'], [49, 54, 'DRONE'], [71, 85, 'EGGCOUNT'], [90, 100, 'HONEYFRAMES'], [112, 117, 'BEEPRODUCT']]"
70,71st family: Queen active workers efficient drone count stable eggs numerous beeswax and honey ample on eight frames.,"[[13, 18, 'QUEEN'], [19, 25, 'HEALTHSTATUS'], [26, 33, 'WORKER'], [44, 49, 'DRONE'], [68, 76, 'HEALTHSTATUS'], [77, 84, 'BEEPRODUCT'], [89, 94, 'BEEPRODUCT'], [104, 116, 'HONEYFRAMES']]"
71,72nd family: Queen seen workers industrious drone presence good egg laying on track with seven frames filled with honey.,"[[13, 18, 'QUEEN'], [24, 31, 'WORKER'], [32, 43, 'HEALTHSTATUS'], [44, 49, 'DRONE'], [59, 83, 'EGGCOUNT'], [89, 101, 'HONEYFRAMES'], [114, 119, 'BEEPRODUCT']]"
72,73rd family: Queen vibrant workers and drones at peak numbers eggs abundant and seven honey frames well-stocked.,"[[13, 18, 'QUEEN'], [27, 34, 'WORKER'], [39, 45, 'DRONE'], [67, 75, 'HEALTHSTATUS'], [80, 98, 'HONEYFRAMES'], [99, 111, 'HEALTHSTATUS']]"
73,74th family: Queen present worker bee surge ample drones egg numbers peak copious honey but low beeswax on seven frames.,"[[13, 18, 'QUEEN'], [27, 33, 'WORKER'], [44, 49, 'HEALTHSTATUS'], [61, 81, 'HEALTHSTATUS'], [82, 91, 'WORKER'], [96, 103, 'BEEPRODUCT'], [107, 119, 'HONEYFRAMES']]"
74,75th family: Queen's health declining workers sluggish drones sparse egg laying slow three frames with scant honey.,"[[13, 20, 'QUEEN'], [21, 37, 'HEALTHSTATUS'], [38, 45, 'WORKER'], [55, 61, 'DRONE'], [69, 84, 'EGGCOUNT'], [85, 97, 'HONEYFRAMES'], [103, 108, 'HEALTHSTATUS'], [109, 114, 'BEEPRODUCT']]"
75,76th family: Queen prolific workers exceed expectations drone population optimal egg count high and honey abundant in ten frames.,"[[13, 18, 'QUEEN'], [28, 35, 'WORKER'], [36, 55, 'HEALTHSTATUS'], [56, 61, 'DRONE'], [81, 95, 'EGGCOUNT'], [100, 105, 'BEEPRODUCT'], [106, 114, 'HEALTHSTATUS'], [122, 129, 'HONEYFRAMES']]"
76,77th family: Queen not found worker activity minimal drone count reduced egg laying uncertain honey production on five frames stalled.,"[[13, 18, 'QUEEN'], [29, 35, 'WORKER'], [45, 52, 'HEALTHSTATUS'], [53, 58, 'DRONE'], [59, 93, 'HEALTHSTATUS'], [94, 99, 'BEEPRODUCT'], [111, 125, 'HONEYFRAMES'], [126, 133, 'HONEYFRAMES']]"
77,78th family: Queen reigning well worker bees busy drones numerous eggs filling cells and propolis rich on eight honey frames.,"[[13, 18, 'QUEEN'], [19, 32, 'HEALTHSTATUS'], [33, 39, 'WORKER'], [66, 84, 'EGGCOUNT'], [89, 97, 'BEEPRODUCT'], [98, 102, 'HEALTHSTATUS'], [106, 125, 'HONEYFRAMES']]"
78,79th family: Queen lethargic workers maintaining drone numbers low egg presence moderate with six frames half-filled with honey.,"[[13, 18, 'QUEEN'], [19, 28, 'HEALTHSTATUS'], [29, 36, 'WORKER'], [49, 54, 'DRONE'], [55, 88, 'HEALTHSTATUS'], [94, 104, 'HONEYFRAMES'], [122, 127, 'BEEPRODUCT']]"
79,80th family: Queen recently replaced workers rallying drones emerging eggs increasing beeswax and honey ample on nine frames.,"[[13, 18, 'QUEEN'], [37, 44, 'WORKER'], [61, 85, 'EGGCOUNT'], [86, 93, 'BEEPRODUCT'], [98, 103, 'HEALTHSTATUS'], [104, 109, 'BEEPRODUCT'], [113, 124, 'HONEYFRAMES']]"
80,81st family: Queen active workers and drones constant eggs abound seven frames heavy with honey and beeswax.,"[[13, 18, 'QUEEN'], [26, 33, 'WORKER'], [38, 44, 'DRONE'], [45, 58, 'HEALTHSTATUS'], [66, 78, 'HONEYFRAMES'], [79, 84, 'HEALTHSTATUS'], [90, 95, 'BEEPRODUCT'], [100, 107, 'BEEPRODUCT']]"
81,82nd family: Queen vibrant workers industrious drones adequate robust egg production and seven frames filled to the brim with honey.,"[[13, 18, 'QUEEN'], [19, 26, 'HEALTHSTATUS'], [27, 34, 'WORKER'], [47, 53, 'DRONE'], [63, 84, 'EGGCOUNT'], [89, 101, 'HONEYFRAMES'], [102, 108, 'HEALTHSTATUS'], [126, 131, 'BEEPRODUCT']]"
82,83rd family: Queen absent worker bees disoriented few drones seen eggs scarce and only four honey frames partially capped.,"[[13, 18, 'QUEEN'], [19, 25, 'HEALTHSTATUS'], [26, 32, 'WORKER'], [38, 49, 'HEALTHSTATUS'], [54, 60, 'DRONE'], [87, 104, 'HONEYFRAMES']]"
83,84th family: Queen effective workers busy good drone count high egg numbers plenty of beeswax and eight honey frames filled.,"[[13, 18, 'QUEEN'], [19, 28, 'HEALTHSTATUS'], [29, 36, 'WORKER'], [42, 46, 'HEALTHSTATUS'], [47, 52, 'DRONE'], [59, 85, 'EGGCOUNT'], [86, 93, 'BEEPRODUCT'], [98, 116, 'HONEYFRAMES']]"
84,85th family: Queen missing workers slow drones barely present low egg production and three frames with minimal honey.,"[[13, 18, 'QUEEN'], [27, 34, 'WORKER'], [35, 39, 'HEALTHSTATUS'], [40, 46, 'DRONE'], [47, 65, 'HEALTHSTATUS'], [66, 69, 'BEE'], [85, 97, 'HONEYFRAMES'], [111, 116, 'BEEPRODUCT']]"
85,86th family: Queen recently emerged workers energized drones abundant eggs aplenty and honey thick across nine frames.,"[[13, 18, 'QUEEN'], [28, 35, 'HEALTHSTATUS'], [36, 43, 'WORKER'], [54, 60, 'DRONE'], [70, 82, 'EGGCOUNT'], [87, 92, 'BEEPRODUCT'], [93, 98, 'HEALTHSTATUS'], [106, 117, 'HONEYFRAMES']]"
86,87th family: Queen robust worker activity high drone numbers strong eggs well laid and ten frames loaded with honey.,"[[13, 18, 'QUEEN'], [26, 32, 'WORKER'], [47, 52, 'DRONE'], [53, 82, 'HEALTHSTATUS'], [87, 97, 'HONEYFRAMES'], [98, 104, 'HEALTHSTATUS'], [110, 115, 'BEEPRODUCT']]"
87,88th family: Queen ailing worker numbers dwindling few drones reduced egg laying and four honey frames barely capped.,"[[13, 18, 'QUEEN'], [26, 32, 'WORKER'], [33, 54, 'HEALTHSTATUS'], [55, 61, 'DRONE'], [70, 84, 'EGGCOUNT'], [85, 102, 'HONEYFRAMES'], [103, 116, 'HEALTHSTATUS']]"
88,89th family: Queen active abundant workers healthy drone population egg production excellent and seven frames full of honey.,"[[13, 18, 'QUEEN'], [19, 25, 'HEALTHSTATUS'], [35, 42, 'WORKER'], [51, 56, 'DRONE'], [68, 92, 'EGGCOUNT'], [97, 109, 'HONEYFRAMES'], [110, 114, 'HEALTHSTATUS'], [118, 123, 'BEEPRODUCT']]"
89,90th family: Queen unseen workers managing drones limited eggs sporadic with five honey frames in progress.,"[[13, 18, 'QUEEN'], [19, 25, 'HEALTHSTATUS'], [26, 33, 'WORKER'], [43, 49, 'DRONE'], [50, 71, 'HEALTHSTATUS'], [82, 106, 'HONEYFRAMES']]"
90,91st family: Queen healthy workers thriving ample drones numerous eggs and eight frames densely packed with honey.,"[[13, 18, 'QUEEN'], [19, 26, 'HEALTHSTATUS'], [27, 34, 'WORKER'], [66, 70, 'HEALTHSTATUS'], [75, 87, 'HONEYFRAMES'], [108, 113, 'BEEPRODUCT']]"
91,92nd family: Queen prolific worker bees buzzing drones in good number high egg count and seven honey frames capped.,"[[13, 18, 'QUEEN'], [28, 34, 'WORKER'], [40, 47, 'HEALTHSTATUS'], [48, 54, 'DRONE'], [75, 84, 'EGGCOUNT'], [89, 107, 'HONEYFRAMES'], [108, 114, 'HEALTHSTATUS']]"
92,93rd family: Queen old workers stable drones sufficient moderate egg laying and six frames filled with honey.,"[[13, 18, 'QUEEN'], [23, 30, 'WORKER'], [38, 44, 'DRONE'], [45, 55, 'HEALTHSTATUS'], [65, 79, 'EGGCOUNT'], [80, 90, 'HONEYFRAMES'], [91, 97, 'HEALTHSTATUS'], [103, 108, 'BEEPRODUCT']]"
