,Sentence
114,115th family: Queen missing workers sluggish few drones eggs scarce and four honey frames underfilled.
115,116th family: Queen visible workers active drone population good eggs plentiful and eight honey frames filled.
116,117th family: Queen productive workers industrious drones sufficient high egg production and six frames capped.
117,118th family: Queen declining workers maintaining drones few egg count low and three honey frames only half full.
118,119th family: Queen robust workers bustling drones numerous eggs filling up cells and seven frames brimming with honey.
119,120th family: Queen absent worker morale low drones scarce minimal eggs and two honey frames barely touched.
121,122nd family: Queen laying well workers vibrant drones active eggs numerous and nine honey frames topped.
122,123rd family: Queen old workers steady drone numbers fair eggs moderate and five honey frames filled.
123,124th family: Queen efficient workers busy good drone activity plentiful eggs and eight frames ready.
124,125th family: Queen missing workers lethargic low drone count poor egg output and four frames lacking honey.
125,126th family: Queen visible and healthy workers thriving drones adequate eggs abundant and ten frames densely packed with honey.
126,127th family: Queen weak workers slow drones few limited egg production and six honey frames partially filled.
127,128th family: Queen vibrant workers active drones plenty eggs well-laid and eight honey frames capped.
128,129th family: Queen absent workers disorganized drones minimal eggs scarce and three honey frames underdeveloped.
129,130th family: Queen healthy workers energetic drones ample eggs numerous and seven honey frames fully capped.
130,131st family: Queen not visible workers distressed drone count low egg production halted and only two honey frames filled.
131,132nd family: Queen active workers bustling drones numerous eggs plentiful and ten honey frames well-stocked.
133,134th family: Newly emerged queen workers adjusting drones building good egg numbers and five honey frames capped.
134,135th family: Queen strong workers busy drones healthy eggs abundant and nine frames heavy with honey.
149,150th family: Queen healthy workers hardworking drones ample eggs prolific with eight honey frames perfectly capped.
150,151st family: No queen seen worker bees disoriented drones dwindling eggs few with only three frames somewhat full.
151,152nd family: Queen present worker bees excelling drone count optimal eggs copious and all frames teeming with honey.
152,153rd family: Queen robust strong worker activity drones numerous eggs abound and honey frames heavily laden.
153,154th family: Queen present workers active high drone count eggs numerous and eight honey frames topped up.
154,155th family: No queen detected workers disoriented few drones minimal egg laying and only two honey frames filled.
155,156th family: Queen healthy workers bustling drones numerous plentiful eggs and ten honey frames well-stocked.
156,157th family: Queen aging workers steady limited drones moderate egg production and seven honey frames nearly complete.
157,158th family: Newly emerged queen workers adjusting building drone numbers good egg production and five honey frames capped.
158,159th family: Queen strong workers busy healthy drones eggs abundant and nine frames heavy with honey.
159,160th family: Queen missing workers sluggish few drones scarce eggs and four honey frames underfilled.
160,161st family: Queen visible active workers good drone population plentiful eggs and eight honey frames filled.
161,162nd family: Queen productive workers industrious sufficient drones high egg production and six frames capped.
162,163rd family: Queen declining maintaining workers few drones low egg count and three honey frames only half full.
163,164th family: Queen robust bustling workers numerous drones eggs filling up cells and seven frames brimming with honey.
164,165th family: Queen absent low worker morale scarce drones minimal eggs and two honey frames barely touched.
165,166th family: Queen laying well vibrant workers active drones numerous eggs and nine honey frames topped.
166,167th family: Queen old steady workers fair drone numbers moderate eggs and five honey frames filled.
167,168th family: Queen efficient busy workers good drone activity plentiful eggs and eight frames ready.
168,169th family: Queen missing lethargic workers low drone count poor egg output and four frames lacking honey.
169,170th family: Queen visible and healthy thriving workers adequate drones abundant eggs and ten frames densely packed with honey.
170,171st family: Queen weak slow workers few drones limited egg production and six honey frames partially filled.
171,172nd family: Queen vibrant active workers plenty of drones well-laid eggs and eight honey frames capped.
172,173rd family: Queen absent disorganized workers minimal drones scarce eggs and three honey frames underdeveloped.
173,174th family: Queen healthy hardworking workers ample drones prolific eggs with eight honey frames perfectly capped.
174,175th family: No queen seen disoriented worker bees dwindling drones few eggs with only three frames somewhat full.
175,176th family: Queen present excelling worker bees optimal drone count copious eggs and all frames teeming with honey.
176,177th family: Queen robust strong worker activity numerous drones eggs abound and honey frames heavily laden.
177,178th family: Newly mated queen adjusting workers increasing drone activity beginning egg population with five frames nearing capacity.
178,179th family: Queen in decline managing workers few drones dwindling eggs with four frames only half full.
179,180th family: Queen energetic industrious workers well-counted drones numerous eggs with nine frames rich in honey.
180,181st family: Queen absent unmotivated workers sparse drones few eggs found and three frames barely capped.
181,182nd family: Queen laying efficiently active workers healthy drones plentiful eggs and seven honey frames well-stocked.
182,183rd family: Queen aging steady workers reduced drones moderate eggs with six frames filled with honey.
183,184th family: Queen productive busy workers ample drones high egg count and eight frames brimming with honey.
184,185th family: Queen not found minimal worker activity down drone count slow egg production and two frames needing attention.
185,186th family: Queen vibrant numerous worker bees adequate drones eggs filling up and ten honey frames topped off.
186,187th family: Queen struggling workers doing their best few drones low egg count with five frames partially filled.
187,188th family: Queen excellent performing well workers plentiful drones well-laid eggs and all seven honey frames capped and ready.
188,189th family: Queen recently seen active worker bees steady drone population plentiful eggs with nine honey frames nearly ready.
189,190th family: Queen missing lethargic workers disappearing drones scarce eggs and only three frames showing some honey.
190,191st family: Queen healthy efficient workers numerous drones prolific eggs and eight frames fully stocked with honey.
191,192nd family: Queen vibrant energetic workers active drones abundant eggs and ten frames filled to capacity.
192,193rd family: Queen absent disorganized workers scarce drones few eggs laid and five honey frames poorly stocked.
193,194th family: Queen observed workers efficient drones active high egg count and eight honey frames fully utilized.
194,195th family: Queen not visible workers distressed drone count low minimal eggs and three honey frames empty.
195,196th family: Queen strong workers active ample drones plentiful eggs and ten honey frames brimming.
196,197th family: Queen aging steady workers few drones moderate eggs and six honey frames nearing capacity.
197,198th family: New queen workers adapting increasing drone presence good egg numbers and seven honey frames capped.
198,199th family: Queen vibrant busy workers healthy drones eggs abundant and nine frames heavily laden with honey.
199,200th family: Queen missing sluggish workers scant drones eggs sparse and four honey frames underfilled.
200,201st family: Queen visible workers energetic sufficient drones numerous eggs and eight frames filled with honey.
201,202nd family: Queen productive industrious workers adequate drones high egg production and six frames fully capped.
202,203rd family: Queen in decline maintaining workers few drones low egg count and five honey frames half full.
203,204th family: Queen robust bustling workers numerous drones eggs filling up cells and eight frames overflowing with honey.
204,205th family: Queen absent low worker morale minimal drones few eggs and three honey frames barely used.
205,206th family: Queen laying well vibrant workers active drones plenty of eggs and ten honey frames topped.
206,207th family: Queen old steady workers fair drone numbers moderate eggs and seven honey frames well-stocked.
207,208th family: Queen efficient busy workers good drone activity plentiful eggs and eight frames ready for harvest.
208,209th family: Queen missing lethargic workers reduced drone count poor egg output and four frames lacking honey.
209,210th family: Queen visible and healthy thriving workers ample drones abundant eggs and ten frames densely packed with honey.
210,211th family: Queen weak slow workers few drones limited eggs and six frames partially filled with honey.
211,212th family: Queen vibrant active workers many drones eggs well-laid and nine honey frames capped.
212,213th family: Queen absent disorganized workers minimal drones scarce eggs and five frames underdeveloped.
213,214th family: Queen healthy hardworking workers plentiful drones prolific eggs with eight frames perfectly capped.
214,215th family: No queen seen disoriented worker bees dwindling drones few eggs and only four frames somewhat full.
215,216th family: Queen observed workers active drones plentiful eggs numerous and nine honey frames full.
216,217th family: Queen absent workers listless few drones minimal egg laying and four honey frames underutilized.
217,218th family: Queen healthy workers bustling ample drones good egg production and ten frames well-stocked with honey.
218,219th family: Queen aging workers steady limited drone activity moderate eggs and eight honey frames nearly filled.
219,220th family: Newly emerged queen workers adjusting drones increasing eggs starting to fill and seven honey frames capped.
220,221st family: Queen vibrant workers industrious drones healthy eggs abundant and eleven frames heavy with honey.
221,222nd family: Queen missing sluggish workers scant drones sparse eggs and five honey frames only half filled.
222,223rd family: Queen visible workers energetic good drone population plenty of eggs and nine frames filled with honey.
223,224th family: Queen productive industrious workers sufficient drones high egg count and eight frames capped.
224,225th family: Queen in decline workers maintaining few drones low eggs and six honey frames half full.
225,226th family: Queen robust bustling workers numerous drones eggs filling cells and eight frames brimming with honey.
226,227th family: Queen absent low worker morale minimal drones few eggs and five honey frames barely touched.
227,228th family: Queen laying well vibrant workers active drones many eggs and ten honey frames topped off.
228,229th family: Queen old steady workers fair drone numbers moderate eggs and nine honey frames well-stocked.
229,230th family: Queen efficient busy workers good drone activity plentiful eggs and eight frames ready for extraction.
230,231st family: Queen missing lethargic workers reduced drone count poor egg output and six frames lacking honey.
232,233rd family: Queen weak slow workers few drones limited egg production and seven honey frames partially filled.
233,234th family: Queen vibrant active workers many drones well-laid eggs and nine honey frames capped.
234,235th family: Queen absent disorganized workers minimal drones scarce eggs and six frames underdeveloped.
235,236th family: Queen healthy hardworking workers plentiful drones prolific eggs with nine frames perfectly capped.
236,237th family: No queen seen disoriented worker bees dwindling drones few eggs with only six frames somewhat full.
239,240th family: Newly mated queen adjusting workers increasing drone activity beginning egg population with eight frames nearing capacity.
240,241st family: Queen in decline managing workers few drones dwindling eggs with seven frames only half full.
241,242nd family: Queen energetic industrious workers well-counted drones numerous eggs with ten frames rich in honey.
242,243rd family: Queen absent unmotivated workers sparse drones few eggs found and eight frames barely capped.
243,244th family: Queen laying efficiently active workers healthy drones plentiful eggs and nine honey frames well-stocked.
244,245th family: Queen aging steady workers reduced drones moderate eggs with nine frames filled with honey.
245,246th family: Queen productive busy workers ample drones high egg count and ten frames brimming with honey.
246,247th family: Queen not found minimal worker activity down drone count slow egg production and seven frames needing attention.
247,248th family: Queen vibrant numerous worker bees adequate drones eggs filling up and eleven honey frames topped off.
248,249th family: Queen struggling workers doing their best few drones low egg count with eight frames partially filled.
249,250th family: Queen excellent performing well workers plentiful drones well-laid eggs and all eleven honey frames capped and ready.
250,251st family: Queen recently seen active worker bees steady drone population plentiful eggs with ten honey frames nearly ready.
251,252nd family: Queen missing lethargic workers disappearing drones scarce eggs and only seven frames showing some honey.
252,253rd family: Queen healthy efficient workers numerous drones prolific eggs and eleven frames fully stocked with honey.
253,254th family: Queen vibrant energetic workers active drones abundant eggs and all frames filled to capacity.
254,255th family: Queen absent disorganized workers scarce drones few eggs laid and eight honey frames poorly stocked.
255,256th family: Queen present workers efficiently foraging drones active eggs numerous and eight honey frames fully utilized.
256,257th family: Queen not detected workers disoriented low drone count minimal egg laying and four honey frames underutilized.
257,258th family: Queen robust workers active ample drones good egg production and ten frames well-stocked with honey.
258,259th family: Queen aging workers steady limited drone activity moderate egg numbers and eight honey frames nearly filled.
264,265th family: Queen in decline workers maintaining few drones low egg count and six honey frames half full.
295,296th family: Queen present workers efficiently foraging drones active eggs numerous and nine honey frames fully utilized.
360,361st family: Queen observed workers efficient drones active high egg count and nine honey frames fully utilized.
361,362nd family: Queen not visible workers distressed drone count low minimal egg laying and three honey frames empty.
362,363rd family: Queen healthy workers bustling drones plentiful eggs numerous and ten frames brimming with honey.
363,364th family: Queen aging workers steady limited drones moderate egg production and six honey frames nearing capacity.
364,365th family: New queen workers adapting increasing drone presence eggs starting to populate and seven honey frames capped.
365,366th family: Queen vibrant workers busy healthy drones eggs abundant and eleven frames heavy with honey.
366,367th family: Queen missing sluggish workers few drones scarce eggs and four honey frames underfilled.
367,368th family: Queen visible active workers good drone population numerous eggs and eight honey frames filled.
368,369th family: Queen productive workers industrious drones adequate high egg production and six frames capped.
370,371st family: Queen robust bustling workers numerous drones eggs filling up cells and seven frames overflowing with honey.
371,372nd family: Queen absent worker morale low minimal drones few eggs and three honey frames barely used.
372,373rd family: Queen laying well vibrant workers active drones many eggs and nine honey frames topped.
376,377th family: Queen visible and healthy thriving workers sufficient drones abundant eggs and ten frames densely packed with honey.
378,379th family: Queen vibrant workers active drones plenty eggs well-laid and seven honey frames fully capped.
380,381st family: Queen healthy workers hardworking drones ample eggs prolific with eight frames perfectly capped.
381,382nd family: No queen seen workers disoriented drones dwindling eggs few with only two frames somewhat full.
382,383rd family: Queen present excelling workers optimal drone count eggs copious and all frames teeming with honey.
384,385th family: Newly mated queen adjusting workers increasing drone activity beginning egg population with six frames nearing capacity.
385,386th family: Queen in decline managing workers few drones dwindling eggs with five frames only half full.
387,388th family: Queen absent unmotivated workers sparse drones few eggs found and four frames barely capped.
389,390th family: Queen aging steady workers reduced drones moderate eggs with eight frames filled with honey.
391,392nd family: Queen not found minimal worker activity down drone count slow egg production and six frames needing attention.
392,393rd family: Queen vibrant numerous worker  bees adequate drones eggs filling up and eleven honey frames topped off.
393,394th family: Queen struggling workers doing their best few drones low egg count with seven frames partially filled.
394,395th family: Queen excellent performing well workers plentiful drones well-laid eggs and all ten honey frames capped and ready.
396,397th family: Queen missing lethargic workers disappearing drones scarce eggs and only five frames showing some honey.
397,398th family: Queen healthy efficient workers numerous drones prolific eggs and ten frames fully stocked with honey.
399,400th family: Queen absent disorganized workers scarce drones few eggs laid and seven honey frames poorly stocked.
401,402nd family: Queen not detected workers disoriented low drone count minimal egg laying and three honey frames underutilized.
410,"411th family: queen presence not strong, worker population stable but not thriving, honey production meeting minimal expectations, with reduced egg lay and some honey frames capped."
411,"412th family: queen presence not strong, workers managing despite challenges, adequate nectar and pollen collection, with few eggs present and honey frames slowly filling."
412,"413th family: potential queenless situation, workers managing despite challenges, forage yield moderate, with moderate count of eggs and honey frames slowly filling."
413,"414th family: questionable queenright status, workers exhibit some foraging behavior, reserves of honey and beeswax moderate, with few eggs present and some honey frames capped."
414,"415th family: queen observed but sluggish, workers managing despite challenges, forage yield moderate, with egg laying slower than usual and honey frames slowly filling."
415,"416th family: potential queenless situation, worker population stable but not thriving, forage yield moderate, with few eggs present and few honey frames partially filled."
416,"417th family: queen laying poorly, worker activity moderate, honey production meeting minimal expectations, with egg laying slower than usual and honey frames not fully stocked."
417,"418th family: queen presence not strong, worker population stable but not thriving, honey production meeting minimal expectations, with moderate count of eggs and honey frames slowly filling."
418,"419th family: questionable queenright status, worker activity moderate, reserves of honey and beeswax moderate, with few eggs present and honey frames slowly filling."
419,"420th family: potential queenless situation, worker activity moderate, satisfactory beeswax and propolis, with lower than expected number of eggs and honey frames underdeveloped."
420,"421st family: queen observed but sluggish, workers are somewhat active, adequate nectar and pollen collection, with few eggs present and honey frames slowly filling."
421,"422nd family: queen laying poorly, worker activity moderate, satisfactory beeswax and propolis, with egg laying slower than usual and honey frames slowly filling."
422,"423rd family: queen laying poorly, workers exhibit some foraging behavior, reserves of honey and beeswax moderate, with few eggs present and honey frames slowly filling."
423,"424th family: queen observed but sluggish, workers managing despite challenges, honey production meeting minimal expectations, with egg laying slower than usual and some honey frames capped."
424,"425th family: queen observed but sluggish, workers managing despite challenges, forage yield moderate, with egg laying slower than usual and honey frames underdeveloped."
425,"426th family: queen laying poorly, worker population stable but not thriving, honey production meeting minimal expectations, with egg laying slower than usual and some honey frames capped."
426,"427th family: queen observed but sluggish, worker population stable but not thriving, reserves of honey and beeswax moderate, with reduced egg lay and some honey frames capped."
427,"428th family: queen presence not strong, workers exhibit some foraging behavior, satisfactory beeswax and propolis, with reduced egg lay and honey frames not fully stocked."
428,"429th family: queen observed but sluggish, workers managing despite challenges, satisfactory beeswax and propolis, with lower than expected number of eggs and few honey frames partially filled."
429,"430th family: potential queenless situation, worker activity moderate, forage yield moderate, with few eggs present and some honey frames capped."
430,"431st family: queen observed but sluggish, worker population stable but not thriving, satisfactory beeswax and propolis, with moderate count of eggs and honey frames slowly filling."
431,"432nd family: questionable queenright status, workers managing despite challenges, forage yield moderate, with few eggs present and few honey frames partially filled."
432,"433rd family: queen laying poorly, workers exhibit some foraging behavior, forage yield moderate, with lower than expected number of eggs and some honey frames capped."
433,"434th family: queen laying poorly, worker activity moderate, forage yield moderate, with egg laying slower than usual and honey frames slowly filling."
434,"435th family: questionable queenright status, workers managing despite challenges, honey production meeting minimal expectations, with reduced egg lay and honey frames not fully stocked."
435,"436th family: questionable queenright status, workers exhibit some foraging behavior, honey production meeting minimal expectations, with reduced egg lay and honey frames not fully stocked."
436,"437th family: potential queenless situation, workers managing despite challenges, forage yield moderate, with moderate count of eggs and honey frames underdeveloped."
437,"438th family: questionable queenright status, workers exhibit some foraging behavior, adequate nectar and pollen collection, with egg laying slower than usual and few honey frames partially filled."
438,"439th family: queen laying poorly, workers are somewhat active, adequate nectar and pollen collection, with lower than expected number of eggs and honey frames underdeveloped."
439,"440th family: questionable queenright status, workers managing despite challenges, adequate nectar and pollen collection, with moderate count of eggs and honey frames slowly filling."
440,"441st family: potential queenless situation, workers are somewhat active, adequate nectar and pollen collection, with moderate count of eggs and few honey frames partially filled."
441,"442nd family: questionable queenright status, workers are somewhat active, adequate nectar and pollen collection, with few eggs present and honey frames underdeveloped."
442,"443rd family: queen observed but sluggish, workers managing despite challenges, adequate nectar and pollen collection, with few eggs present and few honey frames partially filled."
443,"444th family: queen presence not strong, worker activity moderate, satisfactory beeswax and propolis, with few eggs present and honey frames not fully stocked."
444,"445th family: queen laying poorly, workers are somewhat active, adequate nectar and pollen collection, with reduced egg lay and few honey frames partially filled."
445,"446th family: questionable queenright status, workers exhibit some foraging behavior, adequate nectar and pollen collection, with moderate count of eggs and honey frames underdeveloped."
446,"447th family: potential queenless situation, workers are somewhat active, forage yield moderate, with moderate count of eggs and some honey frames capped."
447,"448th family: queen laying poorly, worker activity moderate, forage yield moderate, with few eggs present and honey frames slowly filling."
448,"449th family: queen laying poorly, worker population stable but not thriving, reserves of honey and beeswax moderate, with egg laying slower than usual and honey frames not fully stocked."
449,"450th family: queen presence not strong, workers managing despite challenges, satisfactory beeswax and propolis, with moderate count of eggs and honey frames not fully stocked."
450,"451st family: potential queenless situation, worker population stable but not thriving, forage yield moderate, with few eggs present and honey frames not fully stocked."
451,"452nd family: potential queenless situation, worker activity moderate, reserves of honey and beeswax moderate, with egg laying slower than usual and honey frames slowly filling."
452,"453rd family: queen observed but sluggish, worker activity moderate, forage yield moderate, with egg laying slower than usual and honey frames underdeveloped."
453,"454th family: queen observed but sluggish, workers are somewhat active, forage yield moderate, with reduced egg lay and few honey frames partially filled."
454,"455th family: queen presence not strong, worker activity moderate, forage yield moderate, with few eggs present and few honey frames partially filled."
455,"456th family: queen observed but sluggish, workers are somewhat active, satisfactory beeswax and propolis, with egg laying slower than usual and honey frames underdeveloped."
456,"457th family: questionable queenright status, worker population stable but not thriving, satisfactory beeswax and propolis, with reduced egg lay and few honey frames partially filled."
457,"458th family: potential queenless situation, workers are somewhat active, honey production meeting minimal expectations, with lower than expected number of eggs and honey frames underdeveloped."
458,"459th family: questionable queenright status, workers are somewhat active, satisfactory beeswax and propolis, with lower than expected number of eggs and honey frames not fully stocked."
460,"461st family: potential queenless situation, worker population stable but not thriving, adequate nectar and pollen collection, with reduced egg lay and few honey frames partially filled."
461,"462nd family: queen observed but sluggish, workers exhibit some foraging behavior, forage yield moderate, with lower than expected number of eggs and honey frames slowly filling."
462,"463rd family: queen laying poorly, worker population stable but not thriving, satisfactory beeswax and propolis, with egg laying slower than usual and honey frames underdeveloped."
463,"464th family: queen presence not strong, worker activity moderate, adequate nectar and pollen collection, with reduced egg lay and some honey frames capped."
464,"465th family: queen laying poorly, workers are somewhat active, satisfactory beeswax and propolis, with reduced egg lay and some honey frames capped."
465,"466th family: queen laying poorly, worker population stable but not thriving, satisfactory beeswax and propolis, with moderate count of eggs and honey frames underdeveloped."
466,"467th family: queen laying poorly, workers exhibit some foraging behavior, honey production meeting minimal expectations, with few eggs present and honey frames slowly filling."
